# This collection is a creation of my own.
# I could not find a free collection of Service IDs, so this is explicitly compatible with the MIT license.
# Please help me to complete this free collection.
# SId;Name;Shortname (PI?);PTY;Bitrate;Encoding;Channels;URI;Streams URI(seperate by spaces with comma _,_);comment
# Test URI seperation for converting to JSON!
# For automatic converting to JSON introduce all other lines with "#". No empty lines allowed.
# Short names should be the right PS in the right position if possible and not longer than eight character.
#
# Germany:
# EId 10BC 
8202;NPO Radio 2;unknown;Pop Music;96 kbps;AAC;Stereo;unknown;unknown;
8203;NPO 3FM;unknown;Pop Music;96 kbps;AAC;Stereo;unknown;unknown;
8204;NPO Radio 4;unknown;Serious Classical;128 kbps;AAC;Stereo;unknown;unknown;
8205;NPO Radio 5;unknown;Pop Music;96 kbps;AAC;Stereo;unknown;unknown;
8206;NPO Soul & Jazz;unknown;Jazz;88 kbps;AAC;Stereo;unknown;unknown;
8209;NPO FunX;unknown;Pop Music;96 kbps;AAC;Stereo;unknown;unknown;
8210;NPO 3FM Alterna;unknown;Pop Music;96 kbps;AAC;Stereo;unknown;unknown;
8212;NPO SterrenNL;unknown;National Music;88 kbps;AAC;Stereo;unknown;unknown;
8214;NPO 3FM KX Radio;unknown;unknown;96 kbps;AAC;Stereo;unknown;unknown;
8215;NPO Radio 4 Con;unknown;unknown;96 kbps;AAC;Stereo;unknown;unknown;
8216;NPO FunX Dance;unknown;unknown;96 kbps;AAC;Stereo;unknown;unknown;
8217;NPO FunX Sl Jamz;unknown;unknown;96 kbps;AAC;Stereo;unknown;unknown;
# ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
# EId 8008
82A5;SLAM!;unknown;Pop Music;96 kbps;AAC;Stereo;https://www.slam.nl;unknown;
82A8;Sublime;unknown;Jazz;80 kbps;AAC;Stereo;https://sublime.nl;unknown;
8358;KINK;unknown;Rock Music;56 kbps;AAC;Stereo;unknown;unknown;
83C6;Sky Radio;unknown;Pop Music;80 kbps;AAC;Stereo;https://www.skyradio.nl;unknown;
83C7;538;unknown;Pop Music;80 kbps;AAC;Stereo;https://www.538.nl;unknown;
83C8;Qmusic;unknown;Pop Music;80 kbps;AAC;Stereo;unknown;unknown;
83D1;BNR Nieuwsradio;unknown;News;64 kbps;AAC;Stereo;unknown;unknown;
83D2;Radio 10;unknown;Pop Music;80 kbps;AAC;Stereo;unknown;unknown;
83D3;100% NL;unknown;Pop Music;96 kbps;AAC;Stereo;unknown;unknown;
83E1;Veronica;unknown;Pop Music;80 kbps;AAC;Stereo;https://www.radioveronica.nl;unknown;
8802;538TOP50;unknown;Pop Music;64 kbps;AAC;Stereo;https://www.538.nl/538-top-50;unknown;
8804;Qmusic non-stop;unknown;Pop Music;48 kbps;AAC;Stereo;unknown;unknown;
8808;Sky Radio Hits;unknown;Pop Music;64 kbps;AAC;Stereo;https://www.skyradio.nl;unknown;
8814;Sublime You;unknown;unknown;unknown;AAC;Stereo;unknown;unknown;
8816;Radio Maria;unknown;Culture;56 kbps;AAC;Stereo;unknown;unknown;	
8818;Radio 10 60s&70s;unknown;Oldies Music;64 kbps;AAC;Stereo;unknown;unknown;
8961;GrootNieuwsRadio;unknown;Religion;64 kbps;AAC;Stereo;unknown;unknown;
# ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
# EId 8017
8305;8FM Breda;unknown;Pop Music;48 kbps;AAC;Stereo;unknown;unknown;
8306;8FM Eindhoven;unknown;Pop Music;48 kbps;AAC;Stereo;unknown;unknown;
8307;8FM Tilburg;unknown;Pop Music;48 kbps;AAC;Stereo;unknown;unknown;
8308;8FM Den Bosch;unknown;Pop Muisc;48 kbps;AAC;Stereo;unknown;unknown;
831C;Omroep Brabant;unknown;Pop Music;64 kbps;AAC;Stereo;unknown;unknown;
8331;Radio Continu 3;unknown;National Music;64 kbps;AAC;Stereo;unknown;unknown;
8356;RADIOJND;unknown;Pop Music;64 kbps;AAC;Stereo;unknown;unknown;
8415;Radio Gelderland;unknown;Varied,Entertainment;64 kbps;AAC;Stereo;unknown;unknown;
841D;L1 Radio;unknown;Current Affairs;64 kbps;AAC;Stereo;unknown;unknown;
8421;RADIONL Eindhovn;unknown;Pop Muisc;48 kbps;AAC;Stereo;unknown;unknown;
84C8;Qmusic limburg;unknown;Pop Music;64 kbps;AAC;Stereo;unknown;unknown;
8455;HOTRADIO Hits;unknown;Pop Music;64 kbps;AAC;Stereo;unknown;unknown;
8508;Radio 10 Brabant;unknown;Pop Music;96 kbps;AAC;Stereo;unknown;unknown;
8721;RADIONL Breda;unknown;Pop Music;48 kbps;AAC;Stereo;unknown;unknown;
8821;RADIONL DenBosch;unknown;Pop Music;48 kbps;AAC;Stereo;unknown;unknown;
8921;RADIONL Tilburg;unknown;Pop Music;48 kbps;AAC;Stereo;unknown;unknown;
# ----------------------------------------------------------
# Belgium:
# EId 6001
631E;VRT NWS;unknown;unknown;48 kbps;AAC unknown;Stereo;https://www.vrt.be;unknown;
631A;Klara Continuo;unknown;Serious Classical;96 kbps;AAC;Stereo;unknown;unknown;
6304;Studio Brussel;unknown;Rock Music;96 kbps;AAC;Stereo;https://stubru.be;unknown;
6303;Klara;unknown;Light Classical;96 kbps;AAC;Stereo;unknown;unknown;
6305;MNM;unknown;Pop Music;96 kbps;AAC;Stereo;unknown;unknown;
631F;MNM Hits;unknown;Pop Music;96 kbps;AAC;Stereo;unknown;unknown;
6402;Radio 2 VL-BR;unknown;Entertainment;96 kbps;AAC;Stereo;unknown;unknown;
6502;Radio 2 ANT;unknown;Entertainment;96 kbps;AAC;Stereo;unknown;unknown;
6602;Radio 2 LIM;unknown;Entertainment;96 kbps;AAC;Stereo;unknown;unknown;
6B02;Radio 2 W-VL;unknown;Entertainment;96 kbps;AAC;Stereo;unknown;unknown;
6C02;Radio 2 O-VL;unknown;Entertainment;96 kbps;AAC;Stereo;unknown;unknown;
# ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
# EId 6002
60A1;VBRO RADIO;unknown;unknown;unknown;unknown;unknown;unknown;unknown;
60AF;TOPradio;unknown;Pop Music;72 kbps;AAC;Stereo;unknown;unknown;
6301;Radio 1;unknown;Service Program;96 kbps;AAC;Stereo;unknown;unknown;
6306;Qmusic;unknown;Pop Music;96 kbps;AAC;Stereo;unknown;unknown;
6333;ROXX;unknown;Pop Music;80 kbps;AAC;Stereo;unknown;unknown;
6339;VBRO EVERGREEN;unknown;Oldies Music;80 kbps;AAC;Stereo;unknown;unknown;
6335;BBC WORLDSERVICE;unknown;News;48 kbps;AAC;Mono;unknown;unknown;
6395;FAMILY RADIO;unknown;Oldies Music;80 kbps;AAC;Stereo;unknown;unknown;
6396;Q-Maximum Hits;unknown;Pop Music;88 kbps;AAC;Stereo;unknown;unknown;
6397;Joe 70's;unknown;Pop Music;88 kbps;AAC;Stereo;unknown;unknown;
6398;Joe 80's;unknown;Pop Music;88 kbps;AAC;Stereo;unknown;unknown;
639F;ROXX;unknown;Pop Music;80 kbps;AAC;Stereo;unknown;unknown;
63FF;Joe;unknown;Pop Music;88 kbps;AAC;Stereo;unknown;unknown;
6424;Radio Maria;unknown;Culture;80 kbps;AAC;Stereo;unknown;unknown;
6508;NOSTALGIE;unknown;Pop Music;80 kbps;AAC;Stereo;unknown;unknown;
# ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
# EId 6003
6309;N R J;unknown;Pop Music;96 kbps;AAC;Stereo;unknown;unknown;
630C;STADSRADIO VL;unknown;Oldies Music;96 kbps;AAC;Stereo;https://randstadfm.be/SRVWebsite/Home.html;unknown;
6399;Joe Christmas;unknown;Pop Music;96 kbps;AAC;Stereo;unknown;unknown;
639A;RTBF MIX;unknown;Pop Music;96 kbps;AAC;Stereo;unknown;unknown;
639B;Joe Easy;unknown;Pop Music;96 kbps;AAC;Stereo;unknown;unknown;
639C;Joe 90's;unknown;Pop Music;96 kbps;AAC;Stereo;unknown;unknown;
639D;Q-Foute Radio;unknown;Pop Music;96 kbps;AAC;Stereo;unknown;unknown;
639E;Willy;unknown;Rock Music;96 kbps;AAC;Stereo;https://www.willy.radio;unknown;
63A0;EVERGREEN;unknown;Oldies Music;96 kbps;AAC;Stereo;unknown;unknown;
# ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
# Eid 6005
6052;VivaCité;unknown;unknown;unknown;unknown;unknown;https://www.rtbf.be/vivacite;unknown;
6356;Test Classic 21+;unknown;unknown;unknown;unknown;unknown;unknown;unknown;
6357;TARMAC;unknown;Other Music;96 kbps;AAC?;Stereo?;unknown;unknown;
6358;Test Musiq3 +;unknown;unknown;unknown;unknown;unknown;unknown;unknown;
6951;La 1ère BXL;unknown;News?;96 kbps?;AAC?;Stereo?;unknown;unknown;
# ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
# EId 6104
6217;Fun Radio;unknown;Pop Music;96 kbps;AAC?;Stereo?;unknown;unknown;
6300;Must FM;unknown;Leisure;96 kbps;AAC?;Stereo?;unknown;unknown;
6353;Musiq3;unknown;Serious Classical;96 kbps;AAC?;Stereo?;unknown;unknown;
6355;Pure;unknown;Pop Music;96 kbps;AAC?;Stereo?;unknown;unknown;
6359;TARMAC;unknown;Other Music;96 kbps;AAC?;Stereo?;unknown;unknown;
6360;DAB Info;unknown;Information;96 kbps;AAC?;Stereo?;unknown;unknown;
6366;BRF 1;unknown;Leisure;96 kbps;AAC?;Stereo?;unknown;unknown;
6482;DH Radio;unknown;Leisure;96 kbps;AAC?;Stereo?;unknown;unknown;
# ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
# EId 6105
6351;La 1ère Wallonie;unknown;News?;96 kbps?;AAC?;Stereo?;unknown;unknown;
6370;Bel RTL;unknown;Leisure;96 kbps;AAC;unknown;unknown;unknown;
6752;Viva Liège;unknown;Leisure;96 kbps;AAC;unknown;unknown;unknown;
6952;Viva Bruxelles;unknown;Leisure?;96 kbps?;AAC?;unknown;unknown;unknown;
6651;La 1ère;unknown;News;96 kbps;AAC;Stereo;unknown;unknown;
