# This collection is a creation of my own.
# I could not find a free collection of Service IDs, so this is explicitly compatible with the MIT license.
# Please help me to complete this free collection.

# Germany:
# EId 10BC 
# EId 6001
631E;VRT NWS;unknown;unknown;48 kbps;AAC unknown;Stereo;vrtnws.be;unknown
6304;Studio Brussel;unknown;Rock Music;96 kbps;AAC;Stereo;unknown;unknown

# EId 6002
60AF;TOPradio;unknown;Pop Music;72 kbps;AAC;Stereo;unknown;unknown
6339;VBRO EVERGEEN;unknown;Oldies Music;80 kbps;AAC;Stereo;unknown;unknown
60A1;VBRO RADIO;unknown;unknown;unknown;unknown;unknown;unknown;unknown
6335;BBC WORLDSERVICE;unknown;News;48 kbps;AAC;Mono;unknown;unknown

# EId 6104
6217;Fun Radio;unknown;Pop Music;96 kbps;AAC?;Stereo?;unknown;unknown
6300;Must FM;unknown;Leisure;96 kbps;AAC?;Stereo?;unknown;unknown
6353;Musiq3;unknown;Serious Classical;96 kbps;AAC?;Stereo?;unknown;unknown
6355;Pure;unknown;Pop Music;96 kbps;AAC?;Stereo?;unknown;unknown
6359;TARMAC;unknown;Other Music;96 kbps;AAC?;Stereo?;unknown;unknown
6360;DAB Info;unknown;Information;96 kbps;AAC?;Stereo?;unknown;unknown
6366;BRF 1;unknown;Leisure;96 kbps;AAC?;Stereo?;unknown;unknown
6482;DH Radio;unknown;Leisure;96 kbps;AAC?;Stereo?;unknown;unknown

# EId 6105
6752;Viva Liège;unknown;Leisure;96 kbps;AAC;unknown;unknown;unknown
6952;Viva Bruxelles;unknown;Leisure?;96 kbps?;AAC?;unknown;unknown;unknown
6370;Bel RTL;unknown;Leisure;96 kbps;AAC;unknown;unknown;unknown

# Eid 6005
6052;VivaCité;VivaCité;unknown;unknown;unknown;unknown;https://www.rtbf.be/vivacite;unknown
6356;Test Classic 21+;unknown;unknown;unknown;unknown;unknown;unknown;unknown
6357;TARMAC;unknown;Other Music;96 kbps;AAC?;Stereo?;unknown;unknown
6358;Test Musiq3 +;unknown;unknown;unknown;unknown;unknown;unknown;unknown
